"name";"value";"dateStamp"
"schaefer";"16339";"2025-01-30 00:00:00"
"skv";"14";"2025-01-30 00:00:00"
"stahlcz";"68460";"2025-01-30 00:00:00"
"stahlgruber";"27540";"2025-01-30 00:00:00"
"suder";"18717";"2025-01-30 00:00:00"
"tokic";"21197";"2025-01-30 00:00:00"
"tokic_ro";"29834";"2025-01-30 00:00:00"
"vw";"2305";"2025-01-30 00:00:00"
"zsu";"67407";"2025-01-30 00:00:00"
"abakus";"925";"2025-01-31 00:00:00"
"abs";"14360";"2025-01-31 00:00:00"
"aci";"46420";"2025-01-31 00:00:00"
"ajs";"453";"2025-01-31 00:00:00"
"auto-partner-blue";"57894";"2025-01-31 00:00:00"
"autogroup";"1292";"2025-01-31 00:00:00"
"autokelly";"117708";"2025-01-31 00:00:00"
"autonova";"4263";"2025-01-31 00:00:00"
"autopartner";"35478";"2025-01-31 00:00:00"
"conex";"20691";"2025-01-31 00:00:00"
"conex_ro";"22044";"2025-01-31 00:00:00"
"dft";"18774";"2025-01-31 00:00:00"
"difer";"1718";"2025-01-31 00:00:00"
"euro07";"20366";"2025-01-31 00:00:00"
"gbg";"88469";"2025-01-31 00:00:00"
"hartsk";"14566";"2025-01-31 00:00:00"
"ipsa";"3200";"2025-01-31 00:00:00"
"jbm";"2898";"2025-01-31 00:00:00"
"jmauto_st";"15669";"2025-01-31 00:00:00"
"lang";"90646";"2025-01-31 00:00:00"
"materom";"19898";"2025-01-31 00:00:00"
"misfat";"13528";"2025-01-31 00:00:00"
"mm";"19517";"2025-01-31 00:00:00"
"motogama";"29082";"2025-01-31 00:00:00"
"motoprofil";"61140";"2025-01-31 00:00:00"
"neo";"5670";"2025-01-31 00:00:00"
"nimfas";"1680";"2025-01-31 00:00:00"
"parts4france";"10873";"2025-01-31 00:00:00"
"polcar";"45254";"2025-01-31 00:00:00"
"polcarnagy";"133422";"2025-01-31 00:00:00"
"schaefer";"16349";"2025-01-31 00:00:00"
"skv";"14";"2025-01-31 00:00:00"
"stahlcz";"8578";"2025-01-31 00:00:00"
"stahlgruber";"27646";"2025-01-31 00:00:00"
"suder";"17634";"2025-01-31 00:00:00"
"tokic";"21376";"2025-01-31 00:00:00"
"tokic_ro";"30114";"2025-01-31 00:00:00"
"vw";"2285";"2025-01-31 00:00:00"
"zsu";"67407";"2025-01-31 00:00:00"
"abakus";"936";"2024-11-01 00:00:00"
"abs";"14360";"2024-11-01 00:00:00"
"aci";"46657";"2024-11-01 00:00:00"
"ajs";"305";"2024-11-01 00:00:00"
"auto-partner-blue";"55733";"2024-11-01 00:00:00"
"autogroup";"1322";"2024-11-01 00:00:00"
"autokelly";"119916";"2024-11-01 00:00:00"
"autonova";"4211";"2024-11-01 00:00:00"
"autopartner";"33807";"2024-11-01 00:00:00"
"conex";"20857";"2024-11-01 00:00:00"
"conex_ro";"21398";"2024-11-01 00:00:00"
"difer";"1698";"2024-11-01 00:00:00"
"euro07";"17083";"2024-11-01 00:00:00"
"gbg";"88469";"2024-11-01 00:00:00"
"hartsk";"13349";"2024-11-01 00:00:00"
"ipsa";"3358";"2024-11-01 00:00:00"
"jbm";"2988";"2024-11-01 00:00:00"
"jmauto_st";"3900";"2024-11-01 00:00:00"
"lang";"90647";"2024-11-01 00:00:00"
"materom";"19871";"2024-11-01 00:00:00"
"misfat";"13528";"2024-11-01 00:00:00"
"mm";"1948";"2024-11-01 00:00:00"
"motogama";"35507";"2024-11-01 00:00:00"
"motoprofil";"61947";"2024-11-01 00:00:00"
"neo";"5763";"2024-11-01 00:00:00"
"nimfas";"1624";"2024-11-01 00:00:00"
"parts4france";"12084";"2024-11-01 00:00:00"
"polcar";"41411";"2024-11-01 00:00:00"
"polcarnagy";"126006";"2024-11-01 00:00:00"
"schaefer";"15788";"2024-11-01 00:00:00"
"skv";"41";"2024-11-01 00:00:00"
"stahlcz";"68911";"2024-11-01 00:00:00"
"stahlgruber";"27221";"2024-11-01 00:00:00"
"suder";"23602";"2024-11-01 00:00:00"
"tokic";"21725";"2024-11-01 00:00:00"
"tokic_ro";"30116";"2024-11-01 00:00:00"
"vw";"2309";"2024-11-01 00:00:00"
"zsu";"67407";"2024-11-01 00:00:00"
"abakus";"926";"2025-01-10 00:00:00"
"abs";"14360";"2025-01-10 00:00:00"
"aci";"45330";"2025-01-10 00:00:00"
"ajs";"465";"2025-01-10 00:00:00"
"auto-partner-blue";"57604";"2025-01-10 00:00:00"
"autogroup";"1215";"2025-01-10 00:00:00"
"autokelly";"116592";"2025-01-10 00:00:00"
"autonova";"4272";"2025-01-10 00:00:00"
"autopartner";"35198";"2025-01-10 00:00:00"
"conex";"21021";"2025-01-10 00:00:00"
"conex_ro";"22333";"2025-01-10 00:00:00"
"dft";"18774";"2025-01-10 00:00:00"
"difer";"1723";"2025-01-10 00:00:00"
"euro07";"20067";"2025-01-10 00:00:00"
"gbg";"88469";"2025-01-10 00:00:00"
"hartsk";"14566";"2025-01-10 00:00:00"
"ipsa";"3189";"2025-01-10 00:00:00"
"jbm";"2905";"2025-01-10 00:00:00"
"jmauto_st";"12785";"2025-01-10 00:00:00"
"lang";"90647";"2025-01-10 00:00:00"
"materom";"19840";"2025-01-10 00:00:00"
"misfat";"13528";"2025-01-10 00:00:00"
"mm";"1948";"2025-01-10 00:00:00"
"motogama";"29042";"2025-01-10 00:00:00"
